# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr10	101553648	101572901	+	hsa_circ_0019442	19253	1626	Hepg2, Helas3, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000392	ABCC2	Salzman2013
chr3	148759952	148789444	-	hsa_circ_0067697	29492	1570	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003071	HLTF	Salzman2013
chr15	50923613	50926753	-	hsa_circ_0035248	3140	372	Nhek, Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017672	TRPM7	Salzman2013
chr11	58317258	58318705	-	hsa_circ_0002904	1447	424	Hs68_RNase, Hs68_control, Helas3, Gm12878	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004811	LPXN	Jeck2013, Salzman2013
chr8	103357623	103424917	-	hsa_circ_0085266	67294	1341	Hepg2, Helas3, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_015902	UBR5	Salzman2013
chr10	5944982	5951257	+	hsa_circ_0017594	6275	1019	K562, Helas3, Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032807	FBXO18	Salzman2013
chr11	77815025	77820627	-	hsa_circ_0023772	5602	451	K562, Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001007027	ALG8	Salzman2013
chr12	51449617	51450285	+	hsa_circ_0004313	668	442	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001243689	LETMD1	Jeck2013, Salzman2013
chr4	119526738	119526974	+	hsa_circ_0070738	236	236	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, Nhek, Sknshra, Mcf7	NA	INTERGENIC	None	None	Salzman2013
chr3	9695304	9744078	+	hsa_circ_0064146	48774	2215	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001077525	MTMR14	Salzman2013
chr1	201966446	201969143	+	hsa_circ_0015962	2697	350	Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020216	RNPEP	Salzman2013
chr1	233190013	233231609	-	hsa_circ_0016938	41596	514	Helas3, H1hesc, Gm12878, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014801	PCNXL2	Salzman2013
chr10	7839009	7844817	+	hsa_circ_0007292	5808	799	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001001973	ATP5C1	Jeck2013, Salzman2013
chr11	57258696	57259335	-	hsa_circ_0005204	639	322	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003627	SLC43A1	Jeck2013, Salzman2013
chr1	1735857	1770677	-	hsa_circ_0005907	34820	525	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_002074	GNB1	Jeck2013, Salzman2013
chr15	43762055	43773220	-	hsa_circ_0034993	11165	1018	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005657	TP53BP1	Salzman2013
chr5	179665331	179707608	-	hsa_circ_0075343	42277	1179	K562, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_139069	MAPK9	Salzman2013
chr19	19756682	19766262	-	hsa_circ_0050260	9580	1964	Helas3, Gm12878, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020410	ATP13A1	Salzman2013
chr14	51374988	51387785	-	hsa_circ_0031884	12797	1719	Nhek, Helas3, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002863	PYGL	Salzman2013
chr19	14038705	14039001	+	hsa_circ_0049704	296	203	K562, Hepg2, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017721	CC2D1A	Salzman2013
chr17	41132581	41145707	+	hsa_circ_0043924	13126	3828	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_173079	RUNDC1	Salzman2013
chr21	47783394	47787054	+	hsa_circ_0062097	3660	1011	K562, Helas3, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006031	PCNT	Salzman2013
chr17	56439904	56440961	-	hsa_circ_0044776	1057	312	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_017763	RNF43	Salzman2013
chr1	54252830	54293846	-	hsa_circ_0012602	41016	1520	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018087	TMEM48	Salzman2013
chr21	35275756	35284703	-	hsa_circ_0061574	8947	628	K562, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001697	ATP5O	Salzman2013
chr19	58797082	58797571	+	hsa_circ_0052331	489	223	Helas3, H1hesc, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_021089	ZNF8	Salzman2013
chr19	17690290	17693965	+	hsa_circ_0050019	3675	2315	K562, Huvec, Hmec, Helas3, Bj, Ag04450, Nhek, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_024656	GLT25D1	Salzman2013
chr19	42801184	42801517	-	hsa_circ_0051287	333	333	Hepg2, Helas3, H1hesc, Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001145939	PAFAH1B3	Salzman2013
chr9	77742484	77749311	+	hsa_circ_0087225	6827	327	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012383	OSTF1	Salzman2013
chrX	153626717	153628967	+	hsa_circ_0092035	2250	533	Hepg2, Helas3, H1hesc, Ag04450, A549	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_006013	RPL10	Salzman2013
chr12	9571707	9574087	-	hsa_circ_0025451	2380	602	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_033399	DDX12P	Salzman2013
chr5	14419886	14481727	+	hsa_circ_0071950	61841	1506	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_007118	TRIO	Salzman2013
chr10	88659550	88659883	+	hsa_circ_0003674	333	197	Hs68_RNase, Hs68_control, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004329	BMPR1A	Jeck2013, Salzman2013
chrX	130902576	130928494	-	hsa_circ_0091547	25918	695	K562, Hepg2, Helas3, H1hesc, Gm12878	SINE	ANNOTATED, INTERNAL, ncRNA, OVEXON	TCONS_l2_00030860	TCONS_l2_00030860	Salzman2013
chr9	34647488	34650573	+	hsa_circ_0086768	3085	1015	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000155	GALT	Salzman2013
chr6	32812985	32821748	-	hsa_circ_0075953	8763	8763	Helas3, Bj	NA	INTERGENIC	None	None	Salzman2013
chr12	53290970	53295856	-	hsa_circ_0026472	4886	1369	Hepg2, Helas3, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_002273	KRT8	Salzman2013
chr11	66306734	66313671	-	hsa_circ_0023001	6937	1317	Hepg2, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_207340	ZDHHC24	Salzman2013
chr6	34801993	34823480	+	hsa_circ_0076061	21487	782	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017754	UHRF1BP1	Salzman2013
chr22	46493805	46494438	+	hsa_circ_0063776	633	150	Nhek, K562, Hepg2, Helas3, H1hesc, Bj, A549, Sknshra, Mcf7	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_027033	MIRLET7BHG	Salzman2013
chr11	57259063	57259335	-	hsa_circ_0022151	272	183	Helas3, Gm12878, Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003627	SLC43A1	Salzman2013
chr7	55231425	55233130	+	hsa_circ_0080229	1705	249	Nhek, Helas3, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005228	EGFR	Salzman2013
chr17	25630392	25638642	+	hsa_circ_0005336	8250	897	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015626	WSB1	Jeck2013, Salzman2013
chr12	64174798	64178852	+	hsa_circ_0027377	4054	259	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014254	TMEM5	Salzman2013
chr17	60064367	60069982	-	hsa_circ_0045088	5615	204	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005121	MED13	Salzman2013
chr5	180235647	180236076	-	hsa_circ_0075370	429	429	Helas3	NA	ANNOTATED, coding, INTERNAL, OVEXON, UTR5	NM_001114618	MGAT1	Salzman2013
chr2	85133126	85133799	+	hsa_circ_0055388	673	402	Nhek, Hsmm, Hmec, Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_021103	TMSB10	Salzman2013
chr19	47278139	47280662	-	hsa_circ_0051620	2523	1195	K562, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_005628	SLC1A5	Salzman2013
chr12	121426635	121435685	+	hsa_circ_0028940	9050	1392	Helas3	NA	ALT_DONOR, CDS, coding, INTERNAL, intronic, OVCODE, OVERLAPTX, OVEXON	NM_000545	HNF1A	Salzman2013
chr10	27456030	27470510	+	hsa_circ_0018036	14480	1671	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001172303	MASTL	Salzman2013
chr22	50943657	50943763	-	hsa_circ_0064001	106	106	Nhek, K562, Hsmm, Helas3, Bj, Ag04450, A549, Nhlf, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_033200	LMF2	Salzman2013
chr6	170033042	170038756	-	hsa_circ_0078737	5714	476	Helas3, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_182552	WDR27	Salzman2013
chr6	7390061	7405254	+	hsa_circ_0075572	15193	1270	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_031480	RIOK1	Salzman2013
chr6	41558958	41564980	+	hsa_circ_0076297	6022	291	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001012426	FOXP4	Salzman2013
chr21	33057361	33078670	-	hsa_circ_0061423	21309	2458	Nhek, K562, Huvec, Helas3, H1hesc, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_020706	SCAF4	Salzman2013
chr9	37854776	37867665	+	hsa_circ_0087086	12889	6989	Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_024345	DCAF10	Salzman2013
chr10	12209572	12228331	-	hsa_circ_0017766	18759	829	Hepg2, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_014142	NUDT5	Salzman2013
chr8	48812932	48817536	-	hsa_circ_0084416	4604	430	K562, Helas3, H1hesc, Ag04450, A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr2	122260742	122287901	-	hsa_circ_0002374	27159	517	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015282	CLASP1	Jeck2013, Salzman2013
chr18	66346699	66365268	-	hsa_circ_0047913	18569	712	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_019022	TMX3	Salzman2013
chr3	133473338	133474339	+	hsa_circ_0067408	1001	310	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001063	TF	Salzman2013
chr3	52833387	52838025	+	hsa_circ_0066129	4638	1075	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002217	ITIH3	Salzman2013
chr9	132862907	132872705	+	hsa_circ_0089085	9798	424	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001136557	GPR107	Salzman2013
chr9	33886878	33900269	+	hsa_circ_0003624	13391	185	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017811	UBE2R2	Jeck2013, Salzman2013
chr9	125616230	125659855	-	hsa_circ_0088373	43625	3184	K562, Helas3, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001100588	RC3H2	Salzman2013
chr4	110412482	110442782	+	hsa_circ_0070640	30300	1343	K562, Helas3, Bj, Ag04450, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006323	SEC24B	Salzman2013
chr20	45891031	45905539	-	hsa_circ_0007026	14508	623	Hs68_RNase, Hs68_control, Helas3, H1hesc, Gm12878	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_183047	ZMYND8	Jeck2013, Salzman2013
chr1	109952549	109953735	-	hsa_circ_0013452	1186	190	K562, Hepg2, Helas3, H1hesc, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002790	PSMA5	Salzman2013
chr1	171492359	171494104	+	hsa_circ_0015210	1745	367	K562, Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015172	PRRC2C	Salzman2013
chr10	127483448	127511837	-	hsa_circ_0020368	28389	926	Nhek, Helas3, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_000375	UROS	Salzman2013
chr2	122144697	122216551	-	hsa_circ_0056293	71854	2196	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015282	CLASP1	Salzman2013
chr11	66288740	66288847	+	hsa_circ_0022996	107	107	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_024649	BBS1	Salzman2013
chr1	146073857	146082431	-	hsa_circ_0013933	8574	541	Helas3, Gm12878	NA	ALT_ACCEPTOR, coding, INTERNAL, OVERLAPTX, OVEXON, UTR5	NM_183372	NBPF11	Salzman2013
chr8	141034033	141415797	-	hsa_circ_0085687	381764	1813	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_031466	TRAPPC9	Salzman2013
chr1	156169625	156170263	+	hsa_circ_0007393	638	638	Hs68_RNase, Hs68_control, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_014655	SLC25A44	Jeck2013, Salzman2013
chrX	47061756	47061903	+	hsa_circ_0090400	147	147	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003334	UBA1	Salzman2013
chr8	103372298	103373854	-	hsa_circ_0001819	1556	324	cd_19, neutr, Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015902	UBR5	Jeck2013, Memczak2013, Salzman2013
chr21	38103345	38103452	+	hsa_circ_0061643	107	107	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005069	SIM2	Salzman2013
chr21	46591524	46624651	+	hsa_circ_0062004	33127	1914	Hepg2, Helas3, H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_015833	ADARB1	Salzman2013
chr5	179192326	179193742	+	hsa_circ_0075306	1416	1416	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014757	MAML1	Salzman2013
chr5	135382023	135399507	+	hsa_circ_0074040	17484	2346	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_000358	TGFBI	Salzman2013
chr2	172309633	172314585	+	hsa_circ_0057053	4952	195	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_025000	DCAF17	Salzman2013
chr20	60962898	60963576	+	hsa_circ_0061112	678	192	Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001024	RPS21	Salzman2013
chr11	46388840	46389629	+	hsa_circ_0021833	789	283	Helas3, Bj, Ag04450, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001199266	DGKZ	Salzman2013
chr7	1518361	1519320	-	hsa_circ_0079118	959	415	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001080453	INTS1	Salzman2013
chr2	169404105	169417832	+	hsa_circ_0056939	13727	237	K562, Helas3, Gm12878, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_203463	CERS6	Salzman2013
chr16	23498030	23505699	-	hsa_circ_0038599	7669	484	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015044	GGA2	Salzman2013
chr22	38247286	38274178	+	hsa_circ_0063257	26892	1493	Nhek, Huvec, Hepg2, Helas3, H1hesc, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016091	EIF3L	Salzman2013
chr18	60212034	60223530	+	hsa_circ_0047886	11496	280	Helas3, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_017742	ZCCHC2	Salzman2013
chr17	48151811	48153099	+	hsa_circ_0044462	1288	292	Nhek, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002204	ITGA3	Salzman2013
chr17	20907514	20924539	-	hsa_circ_0042454	17025	1231	Helas3, H1hesc, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015276	USP22	Salzman2013
chr12	7074514	7078740	-	hsa_circ_0025306	4226	1021	Nhek, K562, Hepg2, Helas3, H1hesc, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001144831	PHB2	Salzman2013
chr16	684428	685774	-	hsa_circ_0037212	1346	586	Helas3, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_032366	C16orf13	Salzman2013
chr17	39845126	39847898	+	hsa_circ_0043650	2772	1326	Nhek, K562, Huvec, Hsmm, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_005801	EIF1	Salzman2013
chr19	2127150	2137090	-	hsa_circ_0048334	9940	583	K562, Hsmm, Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_003938	AP3D1	Salzman2013
chr14	73614502	73659572	+	hsa_circ_0032503	45070	904	K562, Hepg2, Helas3, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_000021	PSEN1	Salzman2013
chr19	1089470	1089961	-	hsa_circ_0048164	491	159	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3	NM_002695	POLR2E	Salzman2013
chr5	149900429	149901329	+	hsa_circ_0001986	900	900	Hs68_RNase, Hs68_control, K562, Helas3, H1hesc, Gm12878, Bj, Ag04450, Nhek	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001543	NDST1	Jeck2013, Salzman2013
chr2	29006772	29011675	+	hsa_circ_0007439	4903	224	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002709	PPP1CB	Jeck2013, Salzman2013
chr13	41826780	41835051	-	hsa_circ_0008230	8271	705	Hs68_RNase, Hs68_control, K562, Helas3, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_004294	MTRF1	Jeck2013, Salzman2013
chr9	24850	25004	-	hsa_circ_0086184	154	154	Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_182905	WASH1	Salzman2013
chr13	47308055	47327175	+	hsa_circ_0030216	19120	2579	Nhek, Helas3	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001164213	LRCH1	Salzman2013
chr10	79613111	79613295	-	hsa_circ_0018936	184	184	Hepg2, Helas3, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004747	DLG5	Salzman2013
chr15	40702826	40707681	+	hsa_circ_0034583	4855	674	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002225	IVD	Salzman2013
chr22	42204878	42206295	+	hsa_circ_0001238	1417	326	cd_19, cd_34, Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_024821	CCDC134	Jeck2013, Memczak2013, Salzman2013
chr9	95027210	95027835	-	hsa_circ_0087497	625	269	K562, Helas3, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013417	IARS	Salzman2013
chr22	51195513	51195754	+	hsa_circ_0064016	241	241	Helas3	LINE	ANNOTATED, ncRNA, OVEXON	NR_026981	RPL23AP82	Salzman2013
chr11	18354606	18379589	+	hsa_circ_0021442	24983	1366	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_001142307	GTF2H1	Salzman2013
chr14	23373469	23380612	-	hsa_circ_0031237	7143	940	K562, Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001077351	RBM23	Salzman2013
chr7_gl000195_random	46399	49119	-	hsa_circ_0083247	2720	567	K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, Sknshra	NA	ANNOTATED, ncRNA, OVCODE, OVEXON	TCONS_00030034	TCONS_00030034	Salzman2013
chr5	39376098	39388954	-	hsa_circ_0072342	12856	1677	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001343	DAB2	Salzman2013
chr19	9003292	9027281	-	hsa_circ_0049122	23989	3538	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024690	MUC16	Salzman2013
chr15	44085172	44086134	+	hsa_circ_0035038	962	336	Nhek, Hsmm, Hepg2, Helas3, Bj, Ag04450, Nhlf, Sknshra	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_037672	SERF2	Salzman2013
chrX	24197299	24197887	+	hsa_circ_0090132	588	588	K562, Huvec, Helas3, Bj, Ag04450, A549, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001178085	ZFX	Salzman2013
chr18	48586235	48593557	+	hsa_circ_0047716	7322	404	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005359	SMAD4	Salzman2013
chr14	106411467	106411474	-	hsa_circ_0033948	7	7	K562, Huvec, Helas3	NA	INTERGENIC	None	None	Salzman2013
chr18	7015720	7024465	-	hsa_circ_0046778	8745	724	Hepg2, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005559	LAMA1	Salzman2013
chr4	7840250	7873807	-	hsa_circ_0069146	33557	728	Huvec, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549, Nhek, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_001134647	AFAP1	Salzman2013
chr9	99525399	99537128	-	hsa_circ_0087647	11729	282	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014930	ZNF510	Salzman2013
chr8	134258858	134262786	-	hsa_circ_0085651	3928	261	Nhek, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001135242	NDRG1	Salzman2013
chr17	4145550	4145743	-	hsa_circ_0041551	193	193	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016376	ANKFY1	Salzman2013
chr19	47858295	47880463	+	hsa_circ_0051677	22168	2001	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014681	DHX34	Salzman2013
chr6	154743639	154754641	-	hsa_circ_0078347	11002	438	K562, Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_173515	CNKSR3	Salzman2013
chr14	106361559	106361563	-	hsa_circ_0033920	4	4	Nhek, K562, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra, Mcf7	NA	INTERGENIC	None	None	Salzman2013
